[ID],[NAME],[REGION],[FLAG]
190,Tanzania,Sub-Saharan Africa,https://data.un.org/common/flags/tza_flag.png
191,Thailand,East Asia and Pacific,https://data.un.org/common/flags/tha_flag.png
192,Timor-Leste,East Asia and Pacific,https://data.un.org/common/flags/tls_flag.png
193,Togo,Sub-Saharan Africa,https://data.un.org/common/flags/tgo_flag.png
194,Tonga,East Asia and Pacific,https://data.un.org/common/flags/ton_flag.png
195,Trinidad and Tobago,Latin America and Caribbean,https://data.un.org/common/flags/tto_flag.png
196,Tunisia,Middle East and North Africa,https://data.un.org/common/flags/tun_flag.png
197,Turkey,Europe and Central Asia,https://data.un.org/common/flags/tur_flag.png
198,Turkmenistan,Europe and Central Asia,https://data.un.org/common/flags/tkm_flag.png
199,Turks and Caicos Islands,Latin America and Caribbean,https://data.un.org/common/flags/tca_flag.png
200,Tuvalu,East Asia and Pacific,https://data.un.org/common/flags/tuv_flag.png
201,Uganda,Sub-Saharan Africa,https://data.un.org/common/flags/uga_flag.png
202,Ukraine,Europe and Central Asia,https://data.un.org/common/flags/ukr_flag.png
203,United Arab Emirates,Middle East and North Africa,https://data.un.org/common/flags/are_flag.png
204,United Kingdom,Europe and Central Asia,https://data.un.org/common/flags/gbr_flag.png
205,United States,North America,https://data.un.org/common/flags/usa_flag.png
206,Uruguay,Latin America and Caribbean,https://data.un.org/common/flags/ury_flag.png
207,Uzbekistan,Europe and Central Asia,https://data.un.org/common/flags/uzb_flag.png
208,Vanuatu,East Asia and Pacific,https://data.un.org/common/flags/vut_flag.png
209,Venezuela,Latin America and Caribbean,https://data.un.org/common/flags/ven_flag.png
210,Vietnam,East Asia and Pacific,https://data.un.org/common/flags/vnm_flag.png
211,Virgin Islands,Latin America and Caribbean,https://data.un.org/common/flags/vir_flag.png
212,West Bank and Gaza,Middle East and North Africa,https://data.un.org/common/flags/pse_flag.png
213,Yemen Rep.,Middle East and North Africa,https://data.un.org/common/flags/yem_flag.png
214,Zambia,Sub-Saharan Africa,https://data.un.org/common/flags/zmb_flag.png
215,Zimbabwe,Sub-Saharan Africa,https://data.un.org/common/flags/zwe_flag.png
